frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,gold_code,timestamp_rounded,trial,phase,num_looks,condition
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
2,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
3,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.1,NA,NA,NA,NA
4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.1,NA,NA,NA,NA
5,0,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.1,NA,NA,NA,NA
6,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.2,NA,NA,NA,NA
7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.2,NA,NA,NA,NA
8,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.2,NA,NA,NA,NA
9,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.3,NA,NA,NA,NA
10,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.3,NA,NA,NA,NA
11,0,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.3,NA,NA,NA,NA
12,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.4,NA,NA,NA,NA
13,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.4,NA,NA,NA,NA
14,0,0.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.4,NA,NA,NA,NA
15,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,NA,NA,NA,NA
16,0,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,NA,NA,NA,NA
17,0,0.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,NA,NA,NA,NA
18,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.6,NA,NA,NA,NA
19,0,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.6,NA,NA,NA,NA
20,0,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.6,NA,NA,NA,NA
21,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.7,NA,NA,NA,NA
22,0,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.7,NA,NA,NA,NA
23,0,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.7,NA,NA,NA,NA
24,0,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.8,NA,NA,NA,NA
25,0,0.801,0.85,1,-0.590272,0.104862,-0.800364,-0.698666,0.087616,-0.710063,-0.706,0.127,509.9,119.8,1287.2,0.169,0.88,-0.019,NA,0.8,NA,NA,NA,NA
26,0,0.834,0.82,1,-0.636749,0.089921,-0.76581,-0.735899,0.077407,-0.672652,-0.762,0.116,518.1,125.5,1303,0.165,0.959,-0.033,NA,0.8,NA,NA,NA,NA
27,0,0.868,0.92,1,-0.697967,0.072267,-0.712475,-0.779824,0.063593,-0.62276,-0.836,0.101,511.8,125.9,1286.5,0.137,1.08,-0.02,NA,0.9,NA,NA,NA,NA
28,0,0.901,0.92,1,-0.720789,0.078135,-0.688737,-0.797859,0.071939,-0.598537,-0.868,0.116,508.3,127,1272,0.19,1.133,-0.071,NA,0.9,NA,NA,NA,NA
29,0,0.934,0.92,1,-0.719624,0.063998,-0.691408,-0.794627,0.057628,-0.604357,-0.863,0.094,513.8,130.7,1280.1,0.14,1.129,-0.027,NA,0.9,NA,NA,NA,NA
30,0,0.968,0.02,0,0,0,0,0,0,0,0,0,550.5,137.8,1373.7,0.066,1.119,0.007,NA,1,NA,NA,NA,NA
31,0,1.001,0.82,1,-0.715932,0.064298,-0.695203,-0.794006,0.062706,-0.604667,-0.86,0.097,502.9,131,1243.1,0.158,1.123,-0.083,NA,1,NA,NA,NA,NA
32,0,1.034,0.02,0,0,0,0,0,0,0,0,0,500,131,1233.4,0.109,1.117,-0.035,NA,1,NA,NA,NA,NA
33,0,1.068,0.02,0,0,0,0,0,0,0,0,0,427.8,108.9,1045.5,-0.594,1.214,0.632,NA,1.1,NA,NA,NA,NA
34,0,1.101,0.02,0,0,0,0,0,0,0,0,0,468.8,114.1,1159.2,-0.996,1.059,0.944,NA,1.1,NA,NA,NA,NA
35,0,1.134,0.02,0,0,0,0,0,0,0,0,0,417,105.1,1038.2,-1.295,0.984,1.263,NA,1.1,NA,NA,NA,NA
36,0,1.168,0.02,0,0,0,0,0,0,0,0,0,452.5,120.6,1137.6,-1.066,0.827,1.104,NA,1.2,NA,NA,NA,NA
37,0,1.201,0.02,0,0,0,0,0,0,0,0,0,424.7,107.9,1086.4,-1.338,0.973,1.298,NA,1.2,NA,NA,NA,NA
38,0,1.235,0.02,0,0,0,0,0,0,0,0,0,440.9,117.7,1155,-1.137,1.001,1.105,NA,1.2,NA,NA,NA,NA
39,0,1.268,0.02,0,0,0,0,0,0,0,0,0,471.2,133.1,1235.9,-1.21,0.846,1.168,NA,1.3,NA,NA,NA,NA
40,0,1.301,0.02,0,0,0,0,0,0,0,0,0,498.2,141.7,1285.4,-1.169,0.784,1.286,NA,1.3,NA,NA,NA,NA
41,0,1.335,0.45,0,0,0,0,0,0,0,0,0,433.8,119.8,1105.2,-1.071,0.882,1.3,NA,1.3,NA,NA,NA,NA
42,0,1.368,0.02,0,0,0,0,0,0,0,0,0,479.5,141.4,1236.3,-1.164,0.697,1.374,NA,1.4,NA,NA,NA,NA
43,0,1.401,0.12,0,0,0,0,0,0,0,0,0,458.7,134.5,1177.5,-1.094,0.67,1.305,NA,1.4,NA,NA,NA,NA
44,0,1.435,0.92,1,-0.547854,0.080189,-0.832722,-0.665454,0.072619,-0.742898,-0.656,0.097,468.3,84.8,1168.1,0.062,0.8,-0.008,NA,1.4,NA,NA,NA,NA
45,0,1.468,0.92,1,-0.589349,0.021101,-0.807603,-0.700411,0.011452,-0.713648,-0.703,0.021,462.4,83.4,1155.2,-0.052,0.865,0.083,NA,1.5,NA,NA,NA,NA
46,0,1.502,0.88,1,-0.59817,0.002588,-0.801365,-0.70565,-0.008155,-0.708514,-0.712,-0.004,456.2,81.3,1141.7,-0.096,0.877,0.116,NA,1.5,NA,NA,NA,NA
47,0,1.535,0.98,1,-0.633892,-0.042188,-0.77227,-0.719415,-0.050039,-0.692775,-0.746,-0.063,456.6,82.4,1135.5,-0.191,0.943,0.209,NA,1.5,NA,NA,NA,NA
48,0,1.568,0.12,0,0,0,0,0,0,0,0,0,461.9,81.1,1144.8,-0.087,1.014,0.143,NA,1.6,NA,NA,NA,NA
49,0,1.602,0.62,0,0,0,0,0,0,0,0,0,426.5,72.9,1074.2,-0.102,1.164,0.136,NA,1.6,NA,NA,NA,NA
50,0,1.635,0.98,1,-0.731246,0.016816,-0.681906,-0.799335,0.019923,-0.600555,-0.873,0.029,436.5,77.6,1103.6,-0.077,1.113,0.088,NA,1.6,NA,NA,NA,NA
51,0,1.668,0.98,1,-0.715753,0.010425,-0.698276,-0.784141,0.013234,-0.620442,-0.85,0.018,443.7,80.6,1123.1,-0.095,1.101,0.094,NA,1.7,NA,NA,NA,NA
52,0,1.702,0.98,1,-0.708805,-0.016814,-0.705204,-0.779696,-0.013452,-0.626014,-0.841,-0.023,438.1,81.6,1109.7,-0.169,1.078,0.157,NA,1.7,NA,NA,NA,NA
53,0,1.735,0.98,1,-0.65478,-0.049922,-0.754169,-0.738809,-0.044634,-0.672435,-0.774,-0.066,445,84.2,1129,-0.192,0.966,0.139,NA,1.7,NA,NA,NA,NA
54,0,1.768,0.98,1,-0.61431,-0.035046,-0.788286,-0.713526,-0.032242,-0.699886,-0.729,-0.045,448.1,85.6,1135.1,-0.152,0.9,0.088,NA,1.8,NA,NA,NA,NA
55,0,1.802,0.98,1,-0.599127,-0.029588,-0.800107,-0.70517,-0.028343,-0.708471,-0.713,-0.038,455.6,87.3,1154.2,-0.124,0.873,0.068,NA,1.8,NA,NA,NA,NA
56,0,1.835,0.98,1,-0.600692,-0.020616,-0.799215,-0.702933,-0.019729,-0.710983,-0.712,-0.027,454.1,87.7,1150.6,-0.115,0.878,0.063,NA,1.8,NA,NA,NA,NA
57,0,1.869,0.98,1,-0.60045,-0.0148,-0.799525,-0.702586,-0.012976,-0.711481,-0.712,-0.018,452.4,89,1144.5,-0.103,0.875,0.048,NA,1.9,NA,NA,NA,NA
58,0,1.902,0.98,1,-0.597521,-0.016909,-0.801675,-0.701486,-0.015156,-0.712522,-0.709,-0.021,455.3,91.5,1150.8,-0.106,0.868,0.048,NA,1.9,NA,NA,NA,NA
